"","year_month","ten_year_t_yield","three_month_t_yield","three_month_bond_equivalent","spread","rec_prob","nber_rec","sp500","cpi","monetary_base","m1","m2","m3","one_year_rec","one_half_year_rec"
"1","1960-01",4.72,4.35,4.45945205825725,0.260547941742747,0.104718754146178,0,58.03,29.37,50700,140,298.2,2.982e+11,1,1
"2","1960-02",4.49,3.96,4.05559652117698,0.434403478823018,0.0976196539553968,0,55.78,29.41,49600,139.9,298.4,2.984e+11,1,1
"3","1960-03",4.25,3.31,3.38428837504016,0.865711624959837,0.105806244147799,0,55.02,29.41,49500,139.8,299.3,2.993e+11,1,1
"4","1960-04",4.28,3.23,3.30181955056941,0.978180449430587,0.108647965342159,0,55.73,29.54,49700,139.6,300.1,3.001e+11,1,1
"5","1960-05",4.35,3.29,3.36366801575659,0.986331984243407,0.0769829398269917,1,55.22,29.57,49700,139.6,300.9,3.009e+11,1,1
"6","1960-06",4.15,2.46,2.50977327347221,1.64022672652779,0.114388431048628,1,57.26,29.61,50000,139.6,302.3,3.023e+11,1,1
"7","1960-07",3.9,2.3,2.34558139404929,1.55441860595071,0.106012090991647,1,55.84,29.55,50500,140.2,304.1,3.041e+11,1,1
"8","1960-08",3.8,2.3,2.34558139404929,1.45441860595071,0.125166573965155,1,56.51,29.61,50300,141.3,306.9,3.069e+11,1,1
"9","1960-09",3.8,2.48,2.53030665572399,1.26969334427601,0.190474293309656,1,54.81,29.61,49900,141.2,308.4,3.084e+11,1,1
"10","1960-10",3.89,2.3,2.34558139404929,1.54441860595071,0.219273657353583,1,53.73,29.75,50100,140.9,309.5,3.095e+11,1,1
"11","1960-11",3.93,2.37,2.41739890058023,1.51260109941977,0.2391255653013,1,55.47,29.78,50300,140.9,310.9,3.109e+11,1,1
"12","1960-12",3.84,2.25,2.29429882456471,1.54570117543529,0.278486318639083,1,56.8,29.81,49800,140.7,312.4,3.124e+11,1,1
"13","1961-01",3.84,2.24,2.28404387509722,1.55595612490278,0.242517669647136,1,59.72,29.84,49100,141.1,314.1,3.141e+11,1,1
"14","1961-02",3.78,2.42,2.46871277576329,1.31128722423671,0.209465454199649,1,62.17,29.84,48400,141.6,316.5,3.165e+11,0,0
"15","1961-03",3.74,2.39,2.43792288467187,1.30207711532813,0.139782853462005,0,64.12,29.84,48400,141.9,318.3,3.183e+11,0,0
"16","1961-04",3.78,2.29,2.33532383706684,1.44467616293316,0.124560252926873,0,65.83,29.81,48500,142.1,319.9,3.199e+11,0,0
"17","1961-05",3.71,2.29,2.33532383706684,1.37467616293316,0.123503826460486,0,66.5,29.84,48500,142.7,322.2,3.222e+11,0,0
"18","1961-06",3.88,2.33,2.37635719488979,1.50364280511021,0.058025906399498,0,65.62,29.84,48900,142.9,324.3,3.243e+11,0,0
"19","1961-07",3.92,2.24,2.28404387509722,1.63595612490278,0.0646021698014084,0,65.44,29.92,49200,142.9,325.6,3.256e+11,0,0
"20","1961-08",4.04,2.39,2.43792288467187,1.60207711532813,0.0729805035142425,0,67.79,29.94,49300,143.5,327.6,3.276e+11,0,0
"21","1961-09",3.98,2.28,2.32506680166694,1.65493319833306,0.0906087255546152,0,67.26,29.98,49600,143.8,329.5,3.295e+11,0,0
"22","1961-10",3.92,2.3,2.34558139404929,1.57441860595071,0.0654048023591216,0,68,29.98,50000,144.1,331.1,3.311e+11,0,0
"23","1961-11",3.94,2.48,2.53030665572399,1.40969334427601,0.0680100923080548,0,71.08,29.98,50500,144.8,333.4,3.334e+11,0,0
"24","1961-12",4.06,2.6,2.65355083688911,1.40644916311089,0.0653014288295069,0,71.74,30.01,51300,145.2,335.5,3.355e+11,0,0
"25","1962-01",4.08,2.72,2.77687030382228,1.30312969617772,0.064479445014481,0,69.07,30.04,50600,145.2,337.5,3.375e+11,0,0
"26","1962-02",4.04,2.73,2.7871503265451,1.2528496734549,0.0863869325053747,0,70.22,30.11,49800,145.7,340.1,3.401e+11,0,0
"27","1962-03",3.93,2.72,2.77687030382228,1.15312969617772,0.0873088448335965,0,70.29,30.17,50000,146,343.1,3.431e+11,0,0
"28","1962-04",3.84,2.73,2.7871503265451,1.0528496734549,0.073839292387452,0,68.05,30.21,50400,146.4,345.5,3.455e+11,0,0
"29","1962-05",3.87,2.69,2.74603337527594,1.12396662472406,0.0802383642637884,0,62.99,30.24,50500,146.8,347.5,3.475e+11,0,0
"30","1962-06",3.91,2.73,2.7871503265451,1.1228496734549,0.0687578872929263,0,55.63,30.21,50900,146.6,349.3,3.493e+11,0,0
"31","1962-07",4.01,2.92,2.98257023787803,1.02742976212197,0.058340255573145,0,56.97,30.22,51300,146.5,350.8,3.508e+11,0,0
"32","1962-08",3.98,2.82,2.87969408600977,1.10030591399023,0.0608816256576429,0,58.52,30.28,51200,146.6,352.8,3.528e+11,0,0
"33","1962-09",3.98,2.78,2.83855829101279,1.14144170898721,0.0569535721103226,0,58,30.42,51300,146.3,354.9,3.549e+11,0,0
"34","1962-10",3.93,2.74,2.79743087260487,1.13256912739513,0.0630198779990916,0,56.17,30.38,51600,146.7,357.2,3.572e+11,0,0
"35","1962-11",3.92,2.83,2.88997934390097,1.03002065609903,0.0769867358721778,0,60.04,30.38,51300,147.3,359.8,3.598e+11,0,0
"36","1962-12",3.86,2.87,2.93112561323356,0.928874386766439,0.0772837083602426,0,62.64,30.38,52300,147.8,362.7,3.627e+11,0,0
"37","1963-01",3.83,2.91,2.97228026491534,0.85771973508466,0.0872031134808205,0,65.06,30.44,51600,148.3,365.2,3.652e+11,0,0
"38","1963-02",3.92,2.92,2.98257023787803,0.937429762121974,0.0923612599224562,0,65.92,30.48,51000,148.9,367.9,3.679e+11,0,0
"39","1963-03",3.93,2.89,2.95170189112072,0.978298108879282,0.103253070013179,0,65.67,30.51,51200,149.2,370.7,3.707e+11,0,0
"40","1963-04",3.97,2.9,2.96199081600958,1.00800918399042,0.115117477480797,0,68.76,30.48,51500,149.7,373.3,3.733e+11,0,0
"41","1963-05",3.93,2.93,2.99286073493768,0.937139265062322,0.106607992732636,0,70.14,30.51,51700,150.4,376.1,3.761e+11,0,0
"42","1963-06",3.99,2.99,3.05461472557449,0.935385274425512,0.106738033437015,0,70.11,30.61,52200,150.4,378.4,3.784e+11,0,0
"43","1963-07",4.02,3.18,3.25029361013614,0.769706389863855,0.118273237674073,0,69.07,30.69,52800,151.3,381.1,3.811e+11,0,0
"44","1963-08",4,3.32,3.39459934315427,0.605400656845728,0.109387194564373,0,70.98,30.75,52600,151.8,383.6,3.836e+11,0,0
"45","1963-09",4.08,3.38,3.45647619298439,0.623523807015607,0.104588334361094,0,72.85,30.72,52900,152,386,3.86e+11,0,0
"46","1963-10",4.11,3.45,3.52868978214176,0.581310217858239,0.105610279745084,0,73.03,30.75,53100,152.6,388.3,3.883e+11,0,0
"47","1963-11",4.12,3.52,3.6009291563153,0.519070843684697,0.117948819008757,0,72.62,30.78,53800,153.6,391.5,3.915e+11,0,0
"48","1963-12",4.13,3.52,3.6009291563153,0.529070843684697,0.131084882721306,0,74.17,30.88,54900,153.3,393.2,3.932e+11,0,0
"49","1964-01",4.17,3.52,3.6009291563153,0.569070843684697,0.140910729190899,0,76.45,30.94,54200,153.7,395.2,3.952e+11,0,0
"50","1964-02",4.15,3.53,3.6112511726161,0.538748827383904,0.129936143194215,0,77.39,30.91,53500,154.3,397.6,3.976e+11,0,0
"51","1964-03",4.22,3.54,3.62157371546388,0.598426284536124,0.124544959646179,0,78.8,30.94,53800,154.5,399.8,3.998e+11,0,0
"52","1964-04",4.23,3.47,3.54932697160623,0.680673028393775,0.120725080238392,0,79.94,30.95,54100,154.8,401.7,4.017e+11,0,0
"53","1964-05",4.2,3.48,3.55964635577631,0.640353644223687,0.12997503389038,0,80.72,30.98,54300,155.3,404.2,4.042e+11,0,0
"54","1964-06",4.17,3.48,3.55964635577631,0.610353644223687,0.13021002301492,0,80.24,31.01,54900,155.6,407.1,4.071e+11,0,0
"55","1964-07",4.19,3.46,3.53900811374146,0.650991886258538,0.153739972121607,0,83.22,31.02,55400,156.8,410.1,4.101e+11,0,0
"56","1964-08",4.19,3.5,3.58028670319353,0.609713296806469,0.179697474061885,0,82,31.05,55400,157.8,413.4,4.134e+11,0,0
"57","1964-09",4.2,3.53,3.6112511726161,0.588748827383904,0.176706230645136,0,83.41,31.08,55900,158.7,416.9,4.169e+11,0,0
"58","1964-10",4.19,3.57,3.65254450369207,0.537455496307933,0.183722558221727,0,84.85,31.12,56200,159.2,419.1,4.191e+11,0,0
"59","1964-11",4.15,3.64,3.72482811289207,0.425171887107934,0.194379022209157,0,85.44,31.21,56800,160,422,4.22e+11,0,0
"60","1964-12",4.18,3.84,3.93149504523912,0.248504954760879,0.192641922459648,0,83.96,31.25,57700,160.3,424.7,4.247e+11,0,0
"61","1965-01",4.19,3.81,3.90048155443719,0.289518445562808,0.185788889762216,0,86.12,31.28,57100,160.7,427.5,4.275e+11,0,0
"62","1965-02",4.21,3.93,4.02456402309947,0.185435976900526,0.19096982545224,0,86.75,31.28,56500,160.9,430.4,4.304e+11,0,0
"63","1965-03",4.21,3.93,4.02456402309947,0.185435976900526,0.180857029048272,0,86.83,31.31,56700,161.5,433.2,4.332e+11,0,0
"64","1965-04",4.2,3.93,4.02456402309947,0.175435976900526,0.167481346977931,0,87.97,31.38,57100,162,435.4,4.354e+11,0,0
"65","1965-05",4.21,3.89,3.98319475307335,0.226805246926654,0.173956813820545,0,89.28,31.48,57200,161.7,437.1,4.371e+11,0,0
